SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
138,ADANIPORTS,2024-02-08,1264.05,1245.20,1264.50,1236.75,1239.88,3354609
139,ADANIPORTS,2024-02-09,1252.60,1271.50,1275.50,1232.10,1266.07,3538164
140,ADANIPORTS,2024-02-12,1278.00,1249.35,1279.75,1243.90,1244.01,2204823
141,ADANIPORTS,2024-02-13,1249.95,1264.80,1271.00,1226.65,1259.40,2245009
142,ADANIPORTS,2024-02-14,1261.95,1267.85,1281.55,1248.65,1262.43,3382943
143,ADANIPORTS,2024-02-15,1275.00,1267.05,1277.55,1262.10,1261.64,3382824
144,ADANIPORTS,2024-02-16,1269.80,1306.85,1311.00,1265.55,1301.27,5476230
145,ADANIPORTS,2024-02-19,1313.40,1307.00,1327.00,1302.15,1301.42,2700240
146,ADANIPORTS,2024-02-20,1311.00,1300.50,1312.90,1293.70,1294.94,1856718
147,ADANIPORTS,2024-02-21,1304.80,1291.00,1315.00,1281.45,1285.48,2770510
148,ADANIPORTS,2024-02-22,1296.00,1310.95,1317.00,1281.00,1305.35,2556009
149,ADANIPORTS,2024-02-23,1312.05,1320.70,1332.00,1298.00,1315.06,2924829
150,ADANIPORTS,2024-02-26,1320.00,1338.15,1343.00,1316.75,1332.43,2802425
151,ADANIPORTS,2024-02-27,1336.85,1329.45,1339.20,1314.25,1323.77,2197456
152,ADANIPORTS,2024-02-28,1334.50,1299.50,1334.90,1295.15,1293.95,2121625
153,ADANIPORTS,2024-02-29,1300.00,1320.50,1329.90,1293.05,1314.86,2672239
154,ADANIPORTS,2024-03-01,1335.00,1322.10,1349.00,1312.40,1316.45,3301090
155,ADANIPORTS,2024-03-04,1345.25,1342.60,1356.55,1336.40,1336.86,2170214
156,ADANIPORTS,2024-03-05,1344.05,1338.30,1354.95,1334.00,1332.58,1815438
157,ADANIPORTS,2024-03-06,1342.70,1324.80,1344.60,1304.00,1319.14,2758443
158,ADANIPORTS,2024-03-07,1329.80,1325.45,1335.35,1315.00,1319.79,1640786
159,ADANIPORTS,2024-03-11,1331.00,1326.95,1342.35,1322.05,1321.28,2217673
160,ADANIPORTS,2024-03-12,1335.00,1301.30,1346.95,1293.45,1295.74,3139768
161,ADANIPORTS,2024-03-13,1307.00,1209.55,1308.00,1188.10,1204.38,8670336
162,ADANIPORTS,2024-03-14,1210.00,1267.85,1276.00,1195.70,1262.43,7195603
163,ADANIPORTS,2024-03-15,1273.80,1283.00,1288.85,1256.65,1277.52,4024586
164,ADANIPORTS,2024-03-18,1250.00,1266.60,1270.05,1227.25,1261.19,4858444
165,ADANIPORTS,2024-03-19,1271.05,1241.20,1272.85,1237.25,1235.90,2311324
166,ADANIPORTS,2024-03-20,1248.00,1245.40,1252.95,1230.20,1240.08,2772098
167,ADANIPORTS,2024-03-21,1260.00,1262.45,1268.70,1251.30,1257.06,3155563
168,ADANIPORTS,2024-03-22,1262.45,1281.60,1289.10,1255.05,1276.12,3076926
169,ADANIPORTS,2024-03-26,1281.60,1304.20,1314.00,1281.00,1298.63,3610644
170,ADANIPORTS,2024-03-27,1315.00,1322.80,1343.00,1312.10,1317.15,4938400
171,ADANIPORTS,2024-03-28,1334.00,1341.85,1358.70,1314.00,1336.12,4188741
172,ADANIPORTS,2024-04-01,1356.80,1375.90,1381.75,1350.25,1370.02,3251462
173,ADANIPORTS,2024-04-02,1397.80,1404.15,1424.95,1388.20,1398.15,5769001
174,ADANIPORTS,2024-04-03,1399.85,1397.20,1402.00,1389.20,1391.23,2727582
175,ADANIPORTS,2024-04-04,1408.60,1366.85,1408.60,1362.25,1361.01,4197697
176,ADANIPORTS,2024-04-05,1367.00,1375.55,1381.90,1357.35,1369.67,1853120
177,ADANIPORTS,2024-04-08,1381.95,1348.65,1381.95,1337.00,1342.89,14038860
178,ADANIPORTS,2024-04-09,1356.15,1356.50,1364.90,1346.10,1350.70,1935801
179,ADANIPORTS,2024-04-10,1359.00,1352.30,1359.90,1348.20,1346.52,3984001
180,ADANIPORTS,2024-04-12,1350.00,1344.20,1358.40,1341.00,1338.46,2183230
181,ADANIPORTS,2024-04-15,1320.00,1315.55,1335.00,1308.60,1309.93,3372368
182,ADANIPORTS,2024-04-16,1302.00,1304.35,1322.00,1294.40,1298.78,2696593
183,ADANIPORTS,2024-04-18,1315.95,1295.55,1336.50,1291.00,1290.02,6219274
184,ADANIPORTS,2024-04-19,1280.00,1310.00,1316.00,1270.00,1304.40,3899281
185,ADANIPORTS,2024-04-22,1321.10,1321.10,1331.00,1315.00,1315.46,8903130
186,ADANIPORTS,2024-04-23,1321.10,1322.10,1338.55,1318.90,1316.45,3847872
187,ADANIPORTS,2024-04-24,1331.00,1320.50,1332.90,1318.05,1314.86,2553035
188,ADANIPORTS,2024-04-25,1320.50,1330.55,1336.95,1316.80,1324.87,6097087
189,ADANIPORTS,2024-04-26,1340.00,1324.60,1341.60,1321.10,1318.94,2565490
